#{"t_start": 1764352647.2985578, "env_id": "c4bd738f48c6788b43c9efaad90225f4-v0"}
r,l,t
8.48666,1000,0.545259
36.195602,1000,1.262459
19.528393,1000,1.918667
126.834507,1000,2.436182
106.439605,1000,2.918753
90.813332,1000,3.403501
64.349952,1000,3.89624
46.795817,1000,4.402393
75.685421,1000,4.892769
43.088406,1000,5.371874
123.839692,1000,5.847667
177.036524,1000,6.338901
99.745006,1000,6.826855
152.619249,1000,7.321648
166.832558,1000,7.809401
175.62512,1000,8.304946
68.869257,1000,8.79766
52.793362,1000,9.293436
16.682563,1000,9.790195
84.044561,1000,10.280558
96.096636,1000,10.769174
87.051216,1000,11.169896
128.644937,1000,11.663271
61.357037,1000,12.161459
123.33186,1000,12.656146
137.255333,1000,13.151056
100.779324,1000,13.642383
176.826373,1000,14.135332
140.354544,1000,14.624004
135.719588,1000,15.111783
181.608016,1000,15.600729
109.44775,1000,16.088729
115.040328,1000,16.56766
82.068869,1000,17.047272
65.472619,1000,17.530177
59.890418,1000,18.021341
88.422113,1000,18.514213
44.586959,1000,19.011186
69.599268,1000,19.500525
119.47907,1000,19.988139
59.898347,1000,20.48351
47.008782,1000,20.978521
91.346941,1000,21.376195
178.345164,1000,21.870007
63.111924,1000,22.366813
144.21188,1000,22.864179
63.334219,1000,23.350422
34.919816,1000,23.842149
51.703314,1000,24.338487
27.564116,1000,24.8371
36.831502,1000,25.333408
37.109915,1000,25.816143
90.587161,1000,26.29188
69.104522,1000,26.773555
65.47627,1000,27.258689
97.335507,1000,27.742952
41.009106,1000,28.223015
246.18434,1000,28.705641
56.328858,1000,29.206728
71.369563,1000,29.693257
44.351006,1000,30.186731
80.169284,1000,30.673291
70.882695,1000,31.152382
32.147039,1000,31.549604
66.681852,1000,32.146102
82.708633,1000,32.628696
66.590806,1000,33.114433
87.25113,1000,33.605593
25.867629,1000,34.098832
127.187536,1000,34.584823
103.594005,1000,35.06581
43.53452,1000,35.556889
246.842005,1000,36.044586
124.010503,1000,36.52751
89.479855,1000,37.009544
266.086373,1000,37.489502
75.451407,1000,37.971514
262.873916,1000,38.450975
116.00071,1000,38.937032
108.970218,1000,39.424807
91.50944,1000,39.906202
156.052893,1000,40.386508
179.931837,1000,40.875814
61.632093,1000,41.370176
121.355683,1000,41.854706
49.540845,1000,42.252674
105.093182,1000,42.736639
125.676614,1000,43.216337
84.428354,1000,43.700396
140.199666,1000,44.188542
65.983468,1000,44.671202
140.569183,1000,45.158017
112.128693,1000,45.648012
91.348019,1000,46.145703
122.983562,1000,46.643778
200.681541,1000,47.199701
56.51341,1000,47.679431
139.930179,1000,48.157925
169.599442,1000,48.644701
211.700063,1000,49.130983
240.398512,1000,49.620329
135.994143,1000,50.112159
110.62845,1000,50.596375
189.785869,1000,51.073277
128.323368,1000,51.553898
132.304339,1000,52.036573
67.818688,1000,52.424264
147.140745,1000,52.906025
165.129541,1000,53.389575
95.166482,1000,53.87201
50.263157,1000,54.354204
125.245391,1000,54.827761
89.91431,1000,55.313402
28.402968,1000,55.891909
205.045725,1000,56.373711
71.121623,1000,56.856858
62.819074,1000,57.345678
177.322396,1000,57.827714
193.473416,1000,58.305774
52.619819,1000,58.806019
161.633307,1000,59.286838
131.936377,1000,59.8659
104.165018,1000,60.528005
209.986159,1000,61.208459
210.563805,1000,61.931256
178.418791,1000,62.609361
62.074877,1000,63.29977
163.784846,1000,63.783711
63.002952,1000,64.460876
163.920297,1000,65.159686
182.367479,1000,65.783763
64.764684,1000,66.43638
110.023959,1000,67.072921
254.574126,1000,67.76601
87.034223,1000,68.426744
179.850671,1000,69.09235
121.556123,1000,69.791844
156.283087,1000,70.470307
114.494152,1000,71.164843
112.080656,1000,71.861108
222.938898,1000,72.533612
162.86414,1000,73.20569
68.150506,1000,73.904786
230.234852,1000,74.469268
137.463291,1000,74.947756
117.958558,1000,75.423776
156.815272,1000,75.901848
171.76241,1000,76.384221
97.721459,1000,76.875343
144.379503,1000,77.266248
189.907843,1000,77.751609
224.771639,1000,78.241665
231.454444,1000,78.728251
107.033923,1000,79.21505
88.260065,1000,79.711219
182.124095,1000,80.316936
71.006302,1000,80.810037
207.282892,1000,81.306799
229.223332,1000,81.808926
122.907707,1000,82.299679
72.38626,1000,82.793951
274.437194,1000,83.285887
86.502847,1000,83.780331
151.42639,1000,84.274243
27.235688,1000,84.76972
235.531234,1000,85.265016
99.285172,1000,85.767735
168.660532,1000,86.341117
208.809793,1000,86.895334
216.780978,1000,87.390026
119.102518,1000,87.811987
149.296751,1000,88.311776
136.619649,1000,88.805409
116.778483,1000,89.304989
163.944544,1000,89.798088
225.200844,1000,90.290457
147.773685,1000,90.781953
183.639003,1000,91.360421
149.604061,1000,91.877787
164.23655,1000,92.371129
226.068502,1000,92.849833
187.413626,1000,93.333398
171.032294,1000,93.89812
158.124706,1000,94.380728
245.982471,1000,94.890512
295.55414,1000,95.398423
216.622442,1000,95.989522
131.235528,1000,96.497262
169.715054,1000,97.037843
282.534983,1000,97.683936
48.323165,1000,98.351993
114.317327,1000,98.793799
170.727145,1000,99.380064
124.742116,1000,99.910972
192.410846,1000,100.432854
81.261191,1000,100.940221
127.632164,1000,101.679987
121.847251,1000,102.468588
54.828539,1000,103.206406
264.834838,1000,103.964005
110.287856,1000,104.705912
64.770329,1000,105.421113
121.871742,1000,106.041806
60.944915,1000,106.760015
30.319517,1000,107.252589
27.294431,1000,107.746405
203.321858,1000,108.232797
25.95405,1000,108.733648
20.322815,1000,109.26797
114.522752,1000,109.824068
15.014184,1000,110.422528
18.556863,1000,110.963138
14.300363,1000,111.505925
20.712847,1000,112.091318
20.87206,1000,112.863333
28.674747,1000,113.557308
9.64221,1000,114.188613
96.665794,1000,114.963945
33.713599,1000,115.640041
14.525996,1000,116.153265
21.479352,1000,116.654212
123.597926,1000,117.157621
9.187161,1000,117.778148
5.791515,1000,118.492756
30.178527,1000,119.198002
12.265187,1000,119.888402
29.673541,1000,120.563554
9.335211,1000,121.232451
16.197545,1000,121.720948
16.177583,1000,122.210876
15.269042,1000,122.716815
48.587485,1000,123.222891
29.110935,1000,123.956183
9.806325,1000,124.605303
49.042386,1000,125.153029
23.415884,1000,125.838646
59.036958,1000,126.382871
40.291757,1000,126.971357
91.867183,1000,127.634555
138.500536,1000,128.228379
40.382498,1000,128.714687
63.30217,1000,129.34415
102.789978,1000,130.071946
143.542206,1000,130.688559
70.730798,1000,131.408918
145.690336,1000,132.12271
71.467875,1000,132.869963
65.258121,1000,133.614366
68.609263,1000,134.274296
168.407745,1000,134.990307
74.708985,1000,135.509099
211.237057,1000,136.01005
87.968532,1000,136.573605
167.869373,1000,137.343106
189.17077,1000,138.119755
145.704412,1000,138.669242
110.167831,1000,139.180413
144.656042,1000,139.714988
112.318262,1000,140.227377
84.491144,1000,140.761116
174.332316,1000,141.26864
154.4494,1000,141.833672
55.565693,1000,142.582475
63.379024,1000,143.330818
163.591198,1000,143.865154
76.647964,1000,144.382813
134.039754,1000,144.913846
94.304159,1000,145.451401
163.453442,1000,145.973133
64.579809,1000,146.505181
140.945145,1000,147.020377
110.069881,1000,147.545748
131.700465,1000,148.056427
68.893488,1000,148.564321
131.386238,1000,149.086443
27.339492,1000,149.699784
58.661309,1000,150.339185
42.408471,1000,150.744852
190.720219,1000,151.367416
42.686403,1000,151.984514
100.549345,1000,152.609216
82.563059,1000,153.148413
69.417713,1000,153.873302
99.05916,1000,154.620646
73.612532,1000,155.314244
138.093233,1000,156.071512
90.414716,1000,156.78758
220.567154,1000,157.545912
116.734837,1000,158.299208
131.017073,1000,159.027083
163.52364,1000,159.775243
131.413288,1000,160.392668
117.905395,1000,160.875282
69.544416,1000,161.379938
184.897975,1000,162.166092
82.322878,1000,162.809095
91.461547,1000,163.583654
118.085648,1000,164.097961
141.437828,1000,164.648305
80.576583,1000,165.282765
163.759635,1000,165.799724
137.784573,1000,166.32817
162.712399,1000,166.838152
180.772056,1000,167.360222
56.69741,1000,167.884583
157.555485,1000,168.412025
33.209228,1000,168.939333
118.120236,1000,169.443547
107.654961,1000,169.954936
55.991323,1000,170.462569
119.075883,1000,170.967473
112.197296,1000,171.470037
114.729653,1000,171.967688
152.47165,1000,172.589803
99.735219,1000,173.137345
96.456629,1000,173.626264
131.821396,1000,174.108663
155.938021,1000,174.587407
240.191328,1000,175.081475
60.113368,1000,175.491678
266.129763,1000,176.012803
46.05101,1000,176.49398
153.705476,1000,177.008405
204.471811,1000,177.506371
163.327932,1000,178.005434
91.150857,1000,178.517368
149.820531,1000,179.019728
163.364921,1000,179.669264
95.739,1000,180.33831
182.736232,1000,181.09772
89.913182,1000,181.845338
167.548377,1000,182.604987
62.616526,1000,183.323689
212.347011,1000,183.817372
183.101384,1000,184.324428
107.474922,1000,184.862543
230.480489,1000,185.385407
139.204165,1000,185.861539
224.626,1000,186.359221
244.131914,1000,186.984565
113.891153,1000,187.758217
216.520834,1000,188.291119
112.481246,1000,189.033044
99.521602,1000,189.526893
232.937994,1000,190.24306
196.699986,1000,190.885385
98.850437,1000,191.530302
225.481348,1000,192.164367
148.229059,1000,192.664644
194.429752,1000,193.18045
190.072248,1000,193.688482
184.857304,1000,194.222949
177.982804,1000,194.752579
177.858052,1000,195.505845
217.783083,1000,196.138802
236.60276,1000,196.659869
219.167163,1000,197.178332
208.724575,1000,197.750186
114.469717,1000,198.245658
118.826766,1000,198.783127
169.3266,1000,199.564117
158.397572,1000,200.093946
209.077511,1000,200.508743
230.907359,1000,201.032362
263.973599,1000,201.540998
198.340574,1000,202.166816
129.862681,1000,202.688508
250.285242,1000,203.197744
133.978757,1000,203.780094
178.726541,1000,204.354959
166.381842,1000,205.114009
74.179925,1000,205.640779
108.129184,1000,206.172098
148.087593,1000,206.693612
68.798934,1000,207.188486
160.255459,1000,207.690114
80.244876,1000,208.18424
61.856376,1000,208.713244
84.884508,1000,209.236464
72.234495,1000,209.773655
70.133872,1000,210.282477
74.191563,1000,210.795776
64.576818,1000,211.286872
104.284904,1000,211.690573
52.636719,1000,212.199245
155.570736,1000,212.698225
62.595859,1000,213.218258
191.648743,1000,213.742191
50.365916,1000,214.284355
42.372285,1000,215.027698
48.516527,1000,215.765383
55.498657,1000,216.245282
71.152177,1000,216.870077
115.144356,1000,217.369189
47.976827,1000,217.871284
135.003531,1000,218.367252
46.304127,1000,218.886838
200.752109,1000,219.400857
101.373737,1000,219.910614
43.238877,1000,220.440199
60.221035,1000,221.097123
134.024967,1000,221.745003
138.105489,1000,222.241535
209.130187,1000,222.738933
72.508912,1000,223.247295
106.287417,1000,223.774192
138.560476,1000,224.458529
94.646268,1000,225.162196
135.62714,1000,225.647157
172.3618,1000,226.133121
100.2643,1000,226.63009
148.185625,1000,227.142148
78.934761,1000,227.638471
116.767454,1000,228.149758
132.189853,1000,228.668968
167.296097,1000,229.172632
83.405645,1000,229.665965
62.637517,1000,230.15169
142.681026,1000,230.643032
134.314783,1000,231.132186
91.431749,1000,231.620143
73.633544,1000,232.100643
107.13655,1000,232.583765
111.044867,1000,233.068762
54.329973,1000,233.553385
206.484804,1000,234.055226
59.988987,1000,234.490762
26.127928,1000,235.227232
199.291284,1000,235.73422
105.656372,1000,236.359013
132.634686,1000,237.077274
67.401741,1000,237.784915
136.595277,1000,238.367014
85.276759,1000,238.867307
138.723968,1000,239.491015
197.733038,1000,240.179025
10.626833,1000,240.877246
10.812284,1000,241.572544
11.360378,1000,242.262596
41.787329,1000,242.910438
12.865212,1000,243.434729
98.930351,1000,243.923114
39.235605,1000,244.428448
132.678627,1000,244.92582
112.794407,1000,245.549079
21.988908,1000,246.250682
28.147447,1000,246.798882
59.553442,1000,247.210579
62.347384,1000,247.715419
72.187885,1000,248.410625
23.901491,1000,248.907381
67.050984,1000,249.662027
20.304323,1000,250.376185
13.623602,1000,250.890996
20.941636,1000,251.395068
13.882344,1000,251.998658
14.615213,1000,252.552453
19.579532,1000,253.066141
24.47316,1000,253.564011
55.54645,1000,254.306877
24.389928,1000,254.816605
38.531152,1000,255.306638
45.973661,1000,255.814041
30.413589,1000,256.32045
40.613441,1000,256.827279
99.26271,1000,257.320697
23.690361,1000,257.834363
156.343276,1000,258.321613
88.613367,1000,258.823521
182.319348,1000,259.244071
64.388709,1000,259.75512
86.737174,1000,260.26722
110.936842,1000,260.78453
113.92338,1000,261.304161
28.21094,1000,261.80562
62.589267,1000,262.313201
39.077043,1000,262.824302
54.72293,1000,263.337994
87.786014,1000,263.854452
70.488479,1000,264.389325
74.565661,1000,265.152264
82.232828,1000,265.944385
33.73823,1000,266.550091
31.620052,1000,267.187412
31.934763,1000,267.69084
37.01378,1000,268.196919
110.472191,1000,268.707138
37.186226,1000,269.210488
68.674333,1000,269.726302
328.0448,1000,270.472011
46.167099,1000,271.005553
182.505558,1000,271.669372
88.604021,1000,272.231215
56.193077,1000,272.757541
56.481923,1000,273.263157
203.579422,1000,273.806007
224.771309,1000,274.424011
144.682963,1000,275.009179
73.799145,1000,275.518091
66.333912,1000,276.012317
130.212188,1000,276.504285
48.468843,1000,276.992474
155.293589,1000,277.524441
119.379043,1000,278.042494
56.583456,1000,278.543371
235.413876,1000,279.05955
254.796882,1000,279.572802
67.334973,1000,280.080343
56.949318,1000,280.580895
104.695427,1000,281.07727
51.544749,1000,281.574579
107.369949,1000,281.97905
58.020903,1000,282.478813
72.310477,1000,282.973358
70.098416,1000,283.470024
157.908048,1000,283.981942
102.587195,1000,284.48719
144.702068,1000,284.995094
171.027281,1000,285.50097
97.972637,1000,286.010388
258.515966,1000,286.50666
60.479034,1000,287.006853
53.982399,1000,287.498598
179.102312,1000,288.048913
204.741724,1000,288.529246
149.602534,1000,289.018599
155.033914,1000,289.653589
53.903609,1000,290.258539
199.169075,1000,290.773332
91.922571,1000,291.292908
152.145875,1000,291.793761
143.567761,1000,292.298768
153.17243,1000,292.791532
88.164288,1000,293.187664
63.178609,1000,293.675514
74.486806,1000,294.206717
85.846267,1000,294.781333
143.15458,1000,295.46747
144.118451,1000,296.07302
71.553086,1000,296.812166
54.458509,1000,297.388771
21.504236,1000,298.017887
13.286461,1000,298.746953
13.4514,1000,299.243119
15.199118,1000,299.912675
44.917634,1000,300.406901
42.645764,1000,301.009181
113.796521,1000,301.491901
85.59189,1000,302.000085
116.862457,1000,302.49066
78.796774,1000,302.972943
155.149242,1000,303.465643
169.807114,1000,303.987862
101.39972,1000,304.491438
66.055266,1000,304.920328
168.047867,1000,305.421289
153.896724,1000,305.919856
195.660769,1000,306.424471
94.069392,1000,306.946599
136.785972,1000,307.454855
191.116391,1000,307.934582
176.818582,1000,308.419641
381.494997,1000,308.919775
82.005558,1000,309.534373
220.458139,1000,310.043919
130.868125,1000,310.543416
99.449082,1000,311.031627
97.129013,1000,311.516988
125.204738,1000,311.998352
135.171747,1000,312.471602
215.544285,1000,312.94123
117.701281,1000,313.409729
130.500891,1000,313.886409
112.252845,1000,314.356334
135.920565,1000,314.82559
126.327807,1000,315.21155
192.26982,1000,315.695565
210.250548,1000,316.189893
227.660629,1000,316.818662
156.727571,1000,317.461089
131.520918,1000,317.978055
181.81537,1000,318.481103
228.659757,1000,318.977329
187.838374,1000,319.538837
96.017785,1000,320.045695
156.030253,1000,320.572939
83.851682,1000,321.082285
78.48204,1000,321.59421
149.861006,1000,322.104611
115.47735,1000,322.609775
195.698507,1000,323.11733
211.307192,1000,323.626284
62.796726,1000,324.135851
309.021301,1000,324.717005
106.168,1000,325.293658
189.874373,1000,326.051293
250.357254,1000,326.773814
159.512981,1000,327.340218
139.074142,1000,328.009709
172.19308,1000,328.597998
167.403911,1000,329.190925
83.12062,1000,329.943476
178.774574,1000,330.632143
87.607813,1000,331.172596
114.810688,1000,331.681768
87.600402,1000,332.156803
153.940688,1000,332.631167
107.195776,1000,333.114542
223.272715,1000,333.607139
166.358335,1000,334.141122
256.867742,1000,334.632334
164.428292,1000,335.122429
203.227181,1000,335.610266
260.657403,1000,336.098569
200.615334,1000,336.586013
185.664418,1000,337.079191
166.957797,1000,337.56844
356.10943,1000,338.057041
174.875709,1000,338.458642
