#{"t_start": 1764352124.957791, "env_id": "c4bd738f48c6788b43c9efaad90225f4-v0"}
r,l,t
15.407196,1000,0.404994
35.40922,1000,0.887686
29.781254,1000,1.376407
34.934063,1000,1.86869
4.658905,1000,2.346903
8.81648,1000,2.826274
25.80501,1000,3.308411
64.189502,1000,3.779249
55.935776,1000,4.467112
56.629347,1000,5.130757
9.619295,1000,5.812657
48.263531,1000,6.49277
110.944371,1000,7.155365
161.54594,1000,7.876256
108.012815,1000,8.515879
134.334693,1000,9.155605
161.872522,1000,9.794624
182.78512,1000,10.432715
130.137845,1000,11.097892
140.852957,1000,11.691338
181.8592,1000,12.397989
154.119615,1000,12.843668
149.151954,1000,13.319262
130.498197,1000,13.804607
107.549556,1000,14.298221
94.212815,1000,14.795602
249.996355,1000,15.292181
117.005785,1000,15.785324
122.887863,1000,16.327463
240.891495,1000,16.812283
60.773571,1000,17.301453
77.122669,1000,17.793712
64.175048,1000,18.28887
41.884261,1000,18.778875
65.78537,1000,19.278213
146.22715,1000,19.775007
12.393299,1000,20.269948
25.976975,1000,20.802488
213.546866,1000,21.390799
168.252695,1000,21.884824
78.1087,1000,22.441543
124.801824,1000,22.930707
30.813875,1000,23.332477
36.239161,1000,23.830468
52.053166,1000,24.330548
108.175148,1000,24.822492
46.921231,1000,25.312044
35.711357,1000,25.804027
32.64047,1000,26.30361
21.992352,1000,26.798435
9.384871,1000,27.290987
41.308252,1000,27.781917
7.254148,1000,28.277451
7.538396,1000,28.855258
11.055132,1000,29.341943
46.851526,1000,29.824828
133.443229,1000,30.307351
78.595672,1000,30.911283
18.209388,1000,31.406411
26.063545,1000,31.890251
140.314385,1000,32.369311
12.99331,1000,32.878584
17.870835,1000,33.372995
17.682099,1000,33.775648
6.859346,1000,34.278121
87.812324,1000,34.769603
6.897318,1000,35.268981
15.556759,1000,35.750892
16.439747,1000,36.246042
30.400355,1000,36.741148
132.122938,1000,37.230275
19.120053,1000,37.726279
37.721651,1000,38.223325
7.74842,1000,38.709649
