#{"t_start": 1764351586.2041206, "env_id": "c4bd738f48c6788b43c9efaad90225f4-v0"}
r,l,t
41.774344,1000,127.313397
30.936079,1000,127.821272
109.082551,1000,128.297883
77.055805,1000,128.781553
58.827416,1000,129.264946
96.858373,1000,129.745295
157.372769,1000,130.227452
130.290997,1000,130.711198
49.495025,1000,131.196437
56.868131,1000,131.685147
143.947466,1000,132.173089
237.32523,1000,132.667059
45.283168,1000,133.149357
57.369149,1000,133.541922
123.22298,1000,134.034466
111.820265,1000,134.525822
214.245429,1000,135.035191
33.602346,1000,135.523367
126.700661,1000,136.009569
208.768954,1000,136.493357
210.115054,1000,136.97794
68.157434,1000,137.461761
42.961502,1000,137.948043
152.437939,1000,138.435233
181.205726,1000,138.920128
20.179743,1000,139.40553
20.902116,1000,139.893318
102.054784,1000,140.383409
33.801649,1000,140.871679
36.142326,1000,141.358045
17.986409,1000,141.850505
188.820047,1000,142.336005
90.850923,1000,142.819783
166.573217,1000,143.305456
65.189186,1000,143.786154
147.081353,1000,144.179778
50.587017,1000,144.66618
89.864924,1000,145.162105
184.311531,1000,145.654705
89.782797,1000,146.145075
170.951667,1000,146.638686
96.520699,1000,147.122315
84.92919,1000,147.606976
55.947658,1000,148.097277
49.41105,1000,148.586329
265.805109,1000,149.073401
254.404023,1000,149.569949
54.317418,1000,150.077732
43.124236,1000,150.573566
39.762859,1000,151.05835
44.590471,1000,151.553072
245.53806,1000,152.04335
243.652876,1000,152.530103
157.888057,1000,153.01981
195.314111,1000,153.505899
138.286793,1000,153.991441
281.74408,1000,154.390741
76.499836,1000,154.885887
24.507442,1000,155.407343
112.95351,1000,155.886397
46.336934,1000,156.370107
89.980177,1000,156.852435
46.534373,1000,157.329692
108.571229,1000,157.812216
37.887861,1000,158.29672
155.939531,1000,158.790471
112.964301,1000,159.295112
43.868253,1000,159.796
173.134116,1000,160.289222
283.340501,1000,160.778257
45.752342,1000,161.371367
259.225776,1000,161.939302
37.209419,1000,162.432011
44.048538,1000,162.921037
117.951455,1000,163.410514
186.924045,1000,163.892188
82.662426,1000,164.374426
202.359849,1000,164.77577
129.198756,1000,165.265581
254.324258,1000,165.755959
50.579302,1000,166.245157
229.767205,1000,166.73179
120.669485,1000,167.217397
45.795143,1000,167.701746
205.966873,1000,168.18509
302.832761,1000,168.677036
171.399447,1000,169.169461
177.097277,1000,169.66243
170.723624,1000,170.159641
106.95887,1000,170.655961
187.779268,1000,171.144737
324.523364,1000,171.63173
72.273085,1000,172.133381
48.443521,1000,172.61775
44.379498,1000,173.103532
62.120212,1000,173.590202
51.909223,1000,174.074059
41.010458,1000,174.561639
86.539842,1000,175.243652
79.604946,1000,175.76285
109.362915,1000,176.251208
136.320591,1000,176.74401
122.896388,1000,177.239852
69.044127,1000,177.740515
181.202684,1000,178.228538
100.073172,1000,178.71143
171.809661,1000,179.200155
78.522703,1000,179.690216
52.493367,1000,180.1778
238.078392,1000,180.671889
99.919782,1000,181.154886
111.233466,1000,181.635274
158.37293,1000,182.119565
72.614467,1000,182.614017
65.975307,1000,183.109765
68.860556,1000,183.603065
104.089286,1000,184.096407
133.157302,1000,184.604489
153.280568,1000,185.099619
82.472541,1000,185.720046
163.626572,1000,186.110992
151.675189,1000,186.598375
106.413366,1000,187.084977
135.075838,1000,187.570548
128.187665,1000,188.276182
101.36783,1000,188.89114
78.309683,1000,189.365259
128.638839,1000,189.844995
110.647835,1000,190.326708
139.084622,1000,190.812747
58.350507,1000,191.304164
136.476341,1000,191.790849
153.608232,1000,192.275322
207.521189,1000,192.762661
70.125658,1000,193.246675
100.760789,1000,193.730674
62.810599,1000,194.214178
30.982295,1000,194.835222
153.837615,1000,195.522035
167.523339,1000,196.204973
225.584801,1000,196.915734
151.510974,1000,197.396492
84.791863,1000,198.071095
124.412261,1000,198.742406
266.976802,1000,199.423928
162.824922,1000,200.091736
132.94257,1000,200.596479
194.141888,1000,201.075434
50.19045,1000,201.554776
330.479887,1000,202.030358
161.132944,1000,202.509891
210.893456,1000,202.988673
127.880941,1000,203.468245
166.428145,1000,203.952873
249.530448,1000,204.438756
145.740682,1000,204.928681
192.464909,1000,205.524462
328.494982,1000,206.001675
190.465509,1000,206.490234
151.182184,1000,207.127031
149.654789,1000,207.748056
144.727395,1000,208.225123
33.34115,1000,208.723542
113.065148,1000,209.112647
272.797593,1000,209.59946
286.204363,1000,210.078842
238.403333,1000,210.562282
199.603172,1000,211.047132
96.735955,1000,211.539142
90.712118,1000,212.025826
211.622188,1000,212.512374
193.703033,1000,212.993111
72.148045,1000,213.474078
211.277452,1000,213.954547
77.690545,1000,214.435538
297.756866,1000,214.914089
61.575678,1000,215.401964
99.193818,1000,215.890868
221.717372,1000,216.373542
111.94555,1000,216.864684
121.739634,1000,217.357697
79.444829,1000,217.848809
77.852314,1000,218.344615
40.852106,1000,218.841373
89.281526,1000,219.242965
50.714073,1000,219.81291
117.324381,1000,220.49761
101.366941,1000,221.182079
127.16288,1000,221.879795
102.470971,1000,222.575202
257.580415,1000,223.239145
53.283435,1000,223.919586
160.205878,1000,224.634805
183.409219,1000,225.339188
114.459054,1000,226.003618
272.43797,1000,226.696593
152.655749,1000,227.347211
156.133818,1000,228.041354
99.662849,1000,228.70101
91.382088,1000,229.409499
103.500025,1000,229.986572
195.718956,1000,230.598031
86.297526,1000,231.088229
240.21004,1000,231.575124
130.758969,1000,232.063875
163.964161,1000,232.462466
57.08309,1000,232.958687
239.957638,1000,233.456739
118.831137,1000,233.953679
216.772706,1000,234.447126
94.194796,1000,234.950276
209.509324,1000,235.444432
87.84936,1000,235.940311
120.93426,1000,236.429486
152.164794,1000,236.925035
111.664874,1000,237.647716
201.988699,1000,238.34156
88.30994,1000,238.833823
99.859106,1000,239.323817
265.83269,1000,239.815222
80.642149,1000,240.405859
160.134363,1000,240.890251
123.665745,1000,241.379524
180.62939,1000,241.869372
145.238931,1000,242.348787
109.261066,1000,242.84181
167.41999,1000,243.323484
87.642689,1000,243.718337
192.650408,1000,244.203968
125.607967,1000,244.684362
113.552787,1000,245.168154
102.058434,1000,245.652855
96.309754,1000,246.137009
105.813989,1000,246.625593
106.719752,1000,247.174681
39.636687,1000,247.867088
86.216986,1000,248.349335
52.318621,1000,248.830853
21.591153,1000,249.310664
100.106181,1000,249.936616
126.16984,1000,250.443566
195.661146,1000,250.949635
26.365388,1000,251.437056
239.157405,1000,251.927234
118.253774,1000,252.426531
28.153186,1000,252.92683
73.41528,1000,253.442985
122.780425,1000,253.943047
36.849328,1000,254.352057
149.409743,1000,254.873748
50.020875,1000,255.375184
30.414299,1000,255.877095
61.650315,1000,256.372066
255.302536,1000,256.863373
204.448211,1000,257.362085
85.779843,1000,257.856518
78.607479,1000,258.349055
66.711893,1000,258.845658
115.386794,1000,259.338031
132.026733,1000,259.828389
130.385846,1000,260.41383
155.634874,1000,260.909648
219.198601,1000,261.401806
221.030229,1000,261.898539
147.329021,1000,262.390595
100.532398,1000,262.884386
154.969656,1000,263.38313
120.170299,1000,263.878899
73.637688,1000,264.373025
81.347375,1000,264.776692
74.74576,1000,265.378438
68.087389,1000,265.996799
151.225397,1000,266.478274
144.216224,1000,266.962544
159.12066,1000,267.442604
114.566239,1000,267.923293
139.064054,1000,268.401071
36.732528,1000,268.880288
42.910486,1000,269.363116
158.362387,1000,269.916584
79.721037,1000,270.429174
162.931094,1000,270.928329
251.305927,1000,271.412004
158.831828,1000,272.143534
78.685998,1000,272.861619
139.96994,1000,273.534968
46.87612,1000,274.253605
96.236535,1000,274.936644
95.481555,1000,275.649186
34.962112,1000,276.358575
50.83212,1000,276.838742
23.808712,1000,277.234342
175.749674,1000,277.729914
134.843291,1000,278.222
104.225187,1000,278.717207
130.772462,1000,279.203185
40.630754,1000,279.690052
81.408478,1000,280.174892
27.215549,1000,280.659478
69.155195,1000,281.139783
228.901721,1000,281.621502
98.171408,1000,282.102976
85.166636,1000,282.587085
100.98764,1000,283.077782
198.409413,1000,283.569991
170.484268,1000,284.063172
73.986204,1000,284.546956
194.655246,1000,285.030096
202.259773,1000,285.639347
129.021688,1000,286.126409
196.91373,1000,286.608501
163.824734,1000,287.094442
185.94355,1000,287.495045
40.33108,1000,287.996348
58.149516,1000,288.493341
153.918157,1000,288.975662
121.167711,1000,289.465345
123.776932,1000,289.953784
243.224493,1000,290.440804
174.62493,1000,290.929418
69.907806,1000,291.411207
180.877341,1000,291.891934
92.232292,1000,292.3723
232.580773,1000,292.851771
138.586084,1000,293.337255
121.505072,1000,293.828211
71.545919,1000,294.32989
74.847229,1000,294.832548
191.666047,1000,295.326605
183.015979,1000,295.818341
193.621336,1000,296.316093
59.496154,1000,296.821098
122.95311,1000,297.316961
144.33839,1000,297.732243
221.611954,1000,298.263886
183.963251,1000,298.761942
159.343756,1000,299.276041
161.708673,1000,299.777678
220.167694,1000,300.282531
109.525686,1000,300.778694
259.344069,1000,301.271895
298.402398,1000,301.770509
110.521071,1000,302.262347
80.655963,1000,302.759809
197.032037,1000,303.256553
221.487965,1000,303.767414
141.379415,1000,304.277837
312.638758,1000,304.775271
147.060157,1000,305.269682
113.177303,1000,305.762724
107.758864,1000,306.258815
208.299386,1000,306.759101
126.712318,1000,307.251873
244.6347,1000,307.75386
201.488896,1000,308.438062
135.270104,1000,308.961829
186.235104,1000,309.468464
87.041804,1000,309.953017
148.603299,1000,310.44308
140.537096,1000,311.091098
197.373737,1000,311.771724
260.889703,1000,312.481491
165.4039,1000,313.193384
125.056872,1000,313.886554
218.981858,1000,314.551393
140.88091,1000,315.285049
99.331112,1000,316.004599
118.507232,1000,316.671567
146.45375,1000,317.34605
194.508975,1000,318.047757
158.406232,1000,318.746543
222.328882,1000,319.439484
171.653071,1000,320.116119
194.014096,1000,320.800113
283.930137,1000,321.502964
147.858108,1000,322.189148
225.284878,1000,322.703706
180.43051,1000,323.403979
106.598389,1000,324.093071
116.314966,1000,324.784309
136.642517,1000,325.463118
110.610432,1000,326.134745
99.336935,1000,326.832694
229.960907,1000,327.313383
121.972375,1000,327.799574
99.726578,1000,328.286039
135.485935,1000,328.766814
101.642506,1000,329.248865
216.607758,1000,329.740888
270.525241,1000,330.224112
95.641931,1000,330.712316
241.731998,1000,331.195703
135.747538,1000,331.685143
207.40211,1000,332.16783
95.893901,1000,332.651641
252.04826,1000,333.135817
193.048431,1000,333.612232
272.8378,1000,334.007379
226.704225,1000,334.491045
116.7582,1000,334.976297
139.629088,1000,335.461644
144.620535,1000,335.945189
262.618829,1000,336.426646
275.289026,1000,336.908005
130.123999,1000,337.386699
161.111124,1000,337.865762
75.061088,1000,338.348083
42.669318,1000,338.831902
72.680128,1000,339.310539
136.137179,1000,339.790263
187.139343,1000,340.280251
119.491285,1000,340.765311
77.304325,1000,341.338676
198.998609,1000,341.818953
134.425752,1000,342.300302
99.914194,1000,342.79099
99.788295,1000,343.275199
308.224139,1000,343.754472
115.885689,1000,344.233917
190.350968,1000,344.627297
115.655386,1000,345.115864
138.119978,1000,345.728812
110.565968,1000,346.40731
90.687985,1000,347.02336
153.705957,1000,347.756152
108.127401,1000,348.429035
205.435441,1000,349.143783
241.015039,1000,349.846743
92.677031,1000,350.536597
125.440415,1000,351.241347
202.795642,1000,351.893322
119.763021,1000,352.566534
153.410988,1000,353.247589
196.316432,1000,353.926172
171.214183,1000,354.593276
110.204629,1000,355.284901
130.865334,1000,355.788688
195.335463,1000,356.262938
139.240061,1000,356.743897
173.998026,1000,357.222772
203.828811,1000,357.617861
119.429877,1000,358.101343
236.319853,1000,358.598135
151.080081,1000,359.095893
143.94495,1000,359.587969
197.12374,1000,360.081722
117.465358,1000,360.577584
156.827379,1000,361.069446
191.182657,1000,361.554849
146.70974,1000,362.032933
130.502611,1000,362.517729
133.424477,1000,363.002751
157.55095,1000,363.483943
84.963806,1000,363.970338
214.674205,1000,364.451838
43.004875,1000,364.943079
29.398765,1000,365.524758
113.650563,1000,366.230498
214.011698,1000,366.906675
169.954371,1000,367.573272
247.684106,1000,368.248778
136.285128,1000,368.765107
128.378159,1000,369.44493
214.326086,1000,370.112587
158.003583,1000,370.821351
120.223066,1000,371.506255
162.285222,1000,372.211539
209.900448,1000,372.936323
228.6119,1000,373.625779
153.089639,1000,374.326915
173.141426,1000,374.897227
146.796468,1000,375.392187
245.528452,1000,375.886154
208.444618,1000,376.37678
248.165588,1000,376.870519
169.702018,1000,377.362674
303.960936,1000,377.846494
269.945302,1000,378.344552
349.535969,1000,378.836476
87.827888,1000,379.337358
232.803324,1000,379.826662
260.672754,1000,380.32014
192.205175,1000,380.813315
180.038276,1000,381.218663
150.026112,1000,381.71623
209.924353,1000,382.213175
153.112566,1000,382.711452
75.271874,1000,383.209128
138.314509,1000,383.703463
384.015454,1000,384.195601
222.485939,1000,384.694497
119.110981,1000,385.197774
211.239099,1000,385.689151
235.889885,1000,386.177312
177.931275,1000,386.675795
147.57007,1000,387.168845
102.737024,1000,387.662954
154.817644,1000,388.159323
109.869918,1000,388.734033
136.587582,1000,389.307032
55.767958,1000,389.791248
178.931887,1000,390.46205
75.515466,1000,390.954583
224.120497,1000,391.439028
64.899954,1000,391.830055
113.245371,1000,392.316346
155.189171,1000,392.801583
257.66409,1000,393.29074
202.603441,1000,393.860641
91.654829,1000,394.352594
181.665231,1000,394.838354
78.487369,1000,395.324699
206.251675,1000,396.036229
86.424868,1000,396.734699
125.500612,1000,397.398918
111.558249,1000,398.05816
133.396516,1000,398.746449
32.710867,1000,399.385259
44.651902,1000,400.061935
53.338346,1000,400.723074
45.487002,1000,401.373997
39.200491,1000,402.05794
89.1938,1000,402.731575
122.471648,1000,403.394594
261.310972,1000,404.061982
59.83169,1000,404.530931
204.546018,1000,405.233793
48.428783,1000,405.887475
223.100472,1000,406.5445
44.164773,1000,407.203571
65.471082,1000,407.943702
224.90132,1000,408.638655
75.477456,1000,409.308351
36.483929,1000,410.004307
34.277278,1000,410.482195
31.514844,1000,410.965801
31.544033,1000,411.45196
23.408359,1000,411.936055
28.25386,1000,412.419099
30.064044,1000,412.910862
30.383679,1000,413.393118
34.296123,1000,413.88012
35.122923,1000,414.373605
35.356126,1000,414.872908
61.259487,1000,415.363168
37.97813,1000,415.848711
36.332174,1000,416.330105
28.911542,1000,416.845367
157.808386,1000,417.506121
49.365568,1000,418.190146
32.559752,1000,418.880078
89.601031,1000,419.574902
36.405052,1000,420.240879
44.558056,1000,420.945866
58.439443,1000,421.622303
66.897902,1000,422.337993
41.510008,1000,423.02224
38.657649,1000,423.721046
50.230753,1000,424.425944
136.23773,1000,425.111194
46.201699,1000,425.781508
138.27665,1000,426.490974
56.472823,1000,427.165196
76.496258,1000,427.840051
73.933751,1000,428.516772
55.872422,1000,429.190607
52.687622,1000,429.878047
97.193208,1000,430.548851
83.875457,1000,431.036382
167.035644,1000,431.71114
38.272217,1000,432.339677
40.540795,1000,433.057958
92.123927,1000,433.754725
115.969862,1000,434.449298
76.564015,1000,435.102384
39.005314,1000,435.746456
42.803888,1000,436.427374
105.578143,1000,437.042132
45.254259,1000,437.728032
47.978848,1000,438.402225
80.604314,1000,439.071213
53.912395,1000,439.563539
39.760359,1000,440.052521
48.492092,1000,440.545859
52.109714,1000,441.041138
164.613506,1000,441.535533
53.495701,1000,442.087373
86.213332,1000,442.573683
168.164209,1000,443.059199
64.165871,1000,443.540377
107.276635,1000,444.038578
64.497988,1000,444.530456
86.996628,1000,445.032112
79.602395,1000,445.530173
209.103513,1000,446.093309
64.601888,1000,446.71745
66.53165,1000,447.209589
71.636074,1000,447.697249
217.410438,1000,448.179444
44.47904,1000,448.66029
58.245411,1000,449.140162
147.669891,1000,449.629264
65.478881,1000,450.119051
120.923427,1000,450.596607
66.233312,1000,451.077901
48.647956,1000,451.565397
43.82744,1000,452.047504
45.455098,1000,452.526192
43.882496,1000,453.007344
92.437322,1000,453.492779
264.20721,1000,454.192721
129.663347,1000,454.720436
192.728056,1000,455.39166
96.023109,1000,456.0942
85.453651,1000,456.763802
46.379854,1000,457.457188
141.999544,1000,458.133844
85.699421,1000,458.796394
283.347988,1000,459.457245
189.292391,1000,460.156448
84.066402,1000,460.814914
80.288626,1000,461.436186
136.001165,1000,461.914419
136.910646,1000,462.393524
135.151339,1000,462.90059
178.697845,1000,463.388302
231.001127,1000,463.878992
145.61825,1000,464.436571
113.727732,1000,464.922958
169.077684,1000,465.402101
185.067414,1000,465.985244
200.005739,1000,466.482497
82.155651,1000,466.883475
69.119087,1000,467.379706
181.793795,1000,467.869958
99.994597,1000,468.364078
233.463829,1000,468.854362
207.753455,1000,469.341078
149.796589,1000,469.835067
129.658106,1000,470.328161
146.457517,1000,470.823489
183.907235,1000,471.315886
190.045136,1000,471.811524
67.564271,1000,472.305971
151.596697,1000,472.798962
132.757773,1000,473.298159
130.192277,1000,473.794116
73.197988,1000,474.286296
242.018287,1000,474.769013
53.873127,1000,475.258073
156.072896,1000,475.802133
198.760605,1000,476.293961
140.222683,1000,476.79199
109.895963,1000,477.18979
88.0169,1000,477.686116
129.665635,1000,478.180459
79.677987,1000,478.663463
236.069342,1000,479.142572
292.576904,1000,479.752656
207.012103,1000,480.384108
124.608544,1000,481.043952
118.525678,1000,481.752195
99.918661,1000,482.425123
115.167613,1000,483.095907
177.643654,1000,483.779665
140.449528,1000,484.438028
115.774596,1000,485.131747
47.399243,1000,485.802829
113.294185,1000,486.473653
87.405324,1000,487.1297
181.605725,1000,487.800292
107.036168,1000,488.471072
184.310655,1000,489.166899
43.737387,1000,489.857636
41.151626,1000,490.456496
129.854507,1000,490.941953
73.11878,1000,491.623648
37.113288,1000,492.2955
33.035862,1000,492.978897
68.992692,1000,493.65554
54.587908,1000,494.339544
34.539044,1000,495.058453
50.704354,1000,495.780628
55.352335,1000,496.517864
179.194415,1000,497.22793
140.12734,1000,497.952639
69.716226,1000,498.650281
49.740954,1000,499.361677
95.43631,1000,500.039123
156.419753,1000,500.738261
106.71898,1000,501.396014
129.038239,1000,502.055881
266.210441,1000,502.69147
114.23886,1000,503.341469
177.213487,1000,504.025018
92.68535,1000,504.753715
108.725034,1000,505.260212
107.600884,1000,505.983967
172.166609,1000,506.64512
151.109017,1000,507.329109
56.654604,1000,508.031322
216.556275,1000,508.694384
205.451444,1000,509.375992
138.759227,1000,509.85624
223.467202,1000,510.330038
358.230024,1000,510.809871
312.811538,1000,511.288497
96.052329,1000,511.763232
280.702938,1000,512.231143
247.967986,1000,512.708169
388.798916,1000,513.185521
220.181487,1000,513.658756
59.266089,1000,514.136297
131.633501,1000,514.61635
149.485642,1000,515.096927
123.700404,1000,515.575291
150.543981,1000,516.053752
150.311885,1000,516.449393
236.130696,1000,516.9366
128.062583,1000,517.426352
114.713812,1000,517.908874
168.742263,1000,518.391496
63.042894,1000,518.87577
212.166646,1000,519.349297
107.822734,1000,519.829713
321.062924,1000,520.306386
144.548134,1000,520.785111
177.863384,1000,521.259918
170.394878,1000,521.740073
217.29262,1000,522.213944
269.024936,1000,522.691955
192.836879,1000,523.195666
131.28091,1000,523.674037
219.1137,1000,524.154443
120.802363,1000,524.636279
194.818204,1000,525.117707
177.286198,1000,525.600699
183.234369,1000,526.08555
134.635607,1000,526.569154
288.463313,1000,526.957183
188.332249,1000,527.438167
104.773619,1000,528.056549
221.306776,1000,528.759878
192.810676,1000,529.463216
178.78953,1000,530.162126
237.410526,1000,530.804538
305.641563,1000,531.464911
268.883323,1000,532.111854
155.969167,1000,532.796095
142.105938,1000,533.460375
163.347195,1000,534.135971
174.910453,1000,534.814569
185.436448,1000,535.479386
280.4583,1000,536.130908
267.873505,1000,536.81841
150.089644,1000,537.515601
163.099908,1000,538.004252
191.461938,1000,538.484083
